author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/302539532/,Новосибирск,sale,flat,3,4,1,27.9,-1,0,2500000,Кировский,Рубежная ,4,Студенческая,
Квартирный портал,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/301048180/,Новосибирск,sale,flat,1,5,1,31.1,-1,0,4450000,Дзержинский,проспект Дзержинского,22/2,Березовая Роща,
Н.сервис,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/303801015/,Новосибирск,sale,flat,15,17,1,40.0,-1,0,6650000,Октябрьский,Большевистская ,88,Речной вокзал,
ID 96293300,homeowner,https://novosibirsk.cian.ru/sale/flat/290957805/,Новосибирск,sale,flat,3,20,3,95.0,-1,0,25500000,Центральный,Трудовая ,25,Площадь Ленина,На Трудовой
Strizhi trade-in,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/302732091/,Новосибирск,sale,flat,9,17,2,60.3,-1,0,5350000,Советский,Приморская ,24/2,Студенческая,Тихий берег
Новактив,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/284522144/,Новосибирск,sale,flat,15,25,3,61.0,-1,0,9133000,Заельцовский,Светлановская ,52,Заельцовская,Чкалов
Люди,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/301695450/,Новосибирск,sale,flat,3,9,1,31.0,-1,0,3380000,Ленинский, Невельского,49,Площадь Маркса,
Сфера,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/302810823/,Новосибирск,sale,flat,11,27,1,37.0,-1,0,13900000,Октябрьский, Кирова,50,Октябрьская,Richmond Residence
Твоя Планета,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/303604352/,Новосибирск,sale,flat,2,5,2,45.0,-1,0,4250000,Кировский, Зорге,41,Площадь Маркса,
Твоя Планета,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/295396750/,Новосибирск,sale,flat,2,9,2,44.0,-1,0,4550000,Ленинский, 9-й Гвардейской Дивизии,16,Площадь Маркса,
Wall Street,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/294440212/,Новосибирск,sale,flat,8,10,1,41.3,-1,0,4700000,Ленинский,Троллейная ,12,Студенческая,
Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/303744588/,Новосибирск,sale,flat,4,10,2,43.9,-1,0,5099000,Кировский,Тульская ,88,Площадь Маркса,
Квартирный портал,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/303363137/,Новосибирск,sale,flat,2,14,1,41.2,-1,0,3099000,Кировский, Петухова,14/4,Площадь Маркса,Акатуйский
Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/300716487/,Новосибирск,sale,flat,3,4,1,36.3,-1,0,3500000,Советский, Боровая Партия,14,,
